Label,Text
spam,"Business with  								cPanel & WHM 								Dear client, Our Technical  								Services Department are carrying out a planned  								software upgrade. Please login to re-confirm  								your account. To login,  								please click the link below: login.cPanel.net This  								instruction has been sent to all our customers  								and is obligatory to follow. Thank you, Customers  									Support Service. Company Products Support Resources  2015 All Rights  											Reserved / 											Legal Notices / 											Privacy Policy"
spam,"Your two incoming mails were placed on pending status due to the recent upgrade in our database, In order to receive the messages kindly click: HERE Login with your correct Webmail information's and wait for responds from our data base service. We apologize for any inconvenience and do appreciate your understanding. Regards, HelpDesk  Administrator Team Your two incoming mails were placed on pending status due to the recent upgrade in our database, In order to receive the messages kindly click:HERE Login with your correct Webmail information's and wait for responds from our data base service. We apologize for any inconvenience and do appreciate your understanding. Regards, HelpDesk Administrator Team"
spam,"Password will expire in 3 days. Click Here To Validate E-mail Thank you, IT-Service Help Desk"
spam,"To ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com to your address book. 	   	   	  	   Security Upgrade May Affect usaa.com Access	  View Accounts | Privacy Promise | Contact Us	  	     	 	  	 	  	 	  	   USAA SECURITY ZONE  USAA  Member  USAA # 	  	   	  	  	  	   	   	    @page Section1:first { size:8.5in 11.0in; margin-top:0.75in; margin-right:0.75in; margin-bottom:0.75in; margin-left:0.75in } #messagebody div.rcmBody div.Section1 { page:""Section1"" } #messagebody div.rcmBody p.normal { font-family:""Verdana""; font-size:10.0pt; font-variant:normal; text-align:left; text-transform:none; margin-top:0.0pt; margin-right:0.0pt; margin-bottom:0.0pt; margin-left:0.0pt } #messagebody div.rcmBody table.normal { font-family:""Times New Roman""; font-size:10.0pt; font-variant:normal; text-align:left; text-transform:none; margin-top:0.0pt; margin-right:0.0pt; margin-bottom:0.0pt; margin-left:0.0pt; border-collapse:collapse }        Dear Valued Member,        We recently let you know that we are participating in a worldwide Internet upgrade to increase online security for you and USAA. Access to usaa.com for members who use devices with old operating systems may be affected by this Internet upgrade. To update your account now, Log on to usaa.com.         Device Update Deadline    This is a final reminder that you'll need to check your device operating system and update it if necessary by Nov 02, 2015. After this date, devices without an updated system will not be able to access usaa.com.        If you need help updating your device, please contact your mobile service provider or computer retailer. If you have questions, please call us at 1-877-632-3002 and say ""technical support"" when prompted.        Thank you,    USAA                     	            USAA, 9800 Fredericksburg Road, San Antonio, Texas 78288          	  	  	    Privacy Promise  Please do not reply to this e-mail. To contact USAA, visit our secure contact page. 	  129209-0215 	  	  To             ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com             to your address book.  Security Upgrade May Affect usaa.com Access View Accounts | Privacy Promise | Contact Us USAA                                                 SECURITY ZONE USAA Member USAA #     DearValuedMember,  We                 recently let you know that we are participating in a                 worldwide Internet upgrade to increase online security                 for you and USAA. Access to usaa.com for members who use                 devices with old operating systems may be affected by                 this Internet upgrade. To update your account now, Log on                 to usaa.com.   Device Update Deadline This is a                 final reminder that you'll need to check your device                 operating system and update it if necessary by Nov 02,                 2015. After this date, devices without an updated                     system will not be able to access usaa.com.   If you                 need help updating your device, please contact your                 mobile service provider or computer retailer. If you                 have questions, please call us at 1-877-632-3002 and say                 ""technical support"" when prompted.   Thank you, USAA               USAA,9800FredericksburgRoad,SanAntonio,Texas78288   Privacy Promise            Please do not reply to this e-mail. To contact USAA, visit our secure contact page. 129209-0215"
spam,"PayPal Secure   Dear Client,                                         We have noticed that some data from your account information seems inaccurate or unverified. You have to check your information in order to continue using our service smoothly, please check your account information by clicking the link below.                                           Check My Account   | Help | Contact |  Fees |  Security |  Apps |  Shop |  Ebay |  Secure     										 										 If you need help or have any questions, call us at 65-6510-4584, 7:00 WIB to 21:00 WIB from Monday to Friday, 8:00 WIB to 17:00 WIB from Saturday to Sunday"
spam,08/10/2011 06:14:36 am +0800 - en_US.UTF-8 - OpenWebMail (+) Please Validate Account Sign In Below UserID:  Email:  Password:  Re:Password:  HTTPCompression AutoLogin WebMail 2015 server  Help?
spam,"E-mail Address Update	    View Accounts | Privacy Promise | Contact Us	    	        	 	    	 	     	 	   	    USAA SECURITY ZONE   USAA   MEMBER   USAA # ending in: 9351	   	    	    	    	    	   	     	     	         Dear Member,      We're making some exciting changes that will make your online banking experience very secure, We therefore request you to update your account. It is now important for you to update your full profile for your account safety. We need you to update your account information immediately.   click here to update your account now   The security of your personal information is always a priority at USAA. We work hard to help ensure your account information stays secure.   To learn how USAA protects your information, visit our Security Center on usaa.com. We value your business and are committed to keeping your accounts and personal information safe and secure.   Thank you,  USAA   	  	         	  	  	     	  	  	  	     	      Please do not reply to this e-mail. To send a secure message to USAA, please contact us.    Privacy Promise  USAA, 9800 Fredericksburg Road, San Antonio, Texas 78288   	     	     	  	     	    66659-0309     	      --- This email has been checked for viruses by Avast antivirus software. https://www.avast.com/antivirus E-mail Address Update View Accounts | Privacy Promise | Contact Us                   USAA SECURITY ZONE  USAA  MEMBER  USAA # ending in: 9351                  Dear Member, We're making some exciting changes that will make your online banking experience very secure, We therefore request you to update your account. It is now important for you to update your full profile for your account safety. We need you to update your account information immediately.  click here to update your account now The security of your personal information is always a priority at USAA. We work hard to help ensure your account information stays secure.  To learn how USAA protects your information, visit our Security Center on usaa.com. We value your business and are committed to keeping your accounts and personal information safe and secure.  Thank you, USAA    Please do not reply to this e-mail.  To send a secure message to USAA, please contact us. Privacy Promise USAA, 9800 Fredericksburg Road, San Antonio, Texas 78288  66659-0309 				This email has been checked for viruses by Avast antivirus software. 				www.avast.com"
spam,"Dear Valued User,         We are having a major system upgrade today.  We require that you perform ACCOUNT VERIFICATION *this is to update our servers to serve you better and also to improve security of your account* failure to do this would have the following effects on your accounts:   1.  Your Account will get shut down.   2.  Your account spam detector might be inactive thereby exposing you to spammers fraudulent attacks   3.  *please if you find this message in your spam folder, kindly move to inbox to activate* Thanks, Microsoft Outlook Web Support Replies sent to this email address cannot be answered. This e-mail message and any attachments are intended only for the use of the addressee named above and may contain information that is privileged, confidential and exempt from disclosure under applicable law. If you are not the intended recipient, please reply to sender to announce the error, and then delete this message. You are hereby notified that any disclosure, copying or distribution of this message is strictly prohibited and may result in criminal or civil charges. Thank you. Dear Valued User,     We are having a major system upgrade today. We require that you performACCOUNT VERIFICATION *this is to update our servers to serve you better and also to improve security of your account* failure to do this would have the following effects on your accounts: Your Account will get shut down. Your account spam detector might be inactive thereby exposing you to spammersfraudulent attacks*please if you find this message in your spam folder, kindly move to inbox to activate*         Thanks, Microsoft Outlook Web Support Replies sent to this email address cannot be answered. This e-mail message and any attachments are intended only for the use of the addressee named above and may contain information that is privileged, confidential and exempt from disclosure under applicable law. If you are not the intended recipient, please reply  to sender to announce the error, and then delete this message. You are hereby notified that any disclosure, copying or distribution of this message is strictly prohibited and may result in criminal or civil charges. Thank you."
spam,"Password will expire in 3 days. Click Here To Validate E-mail Password Thank you, IT-Service Help Desk Password will expire in 3 days. Click Here To Validate E-mail Password Thank you, IT-Service Help Desk"
spam,"Your TEXT message goes here. Instructions : 1) JabY0H7BevHgfvP will be replaced with a random string 2) 884033 will be replaced with a random int. 3) jose@monkey.org will be replaced by this email 4) support will be replaced by the sender email 5) 2015/11/04 22:47:50 will be raplaced by the email sending date. What are you waiting for lady ? Go ahead and try it ! I already inserted text for you ! PayPal Secure   Notice of changes to the PayPal user agreement. Dear Customer, Log in to your PayPall account as soon as possible We have recently encountered a problem in your account. when you created your PayPal account to make sure you're the  account holder Click the Activation link and Follow the instructions. ! [Notice] : If this email was sent to you in Junk or Spam folder 		 		Don't consider it as spam, This folder was mistakenly marked as spam by 		 		our new security update. 		 		Thanks. 		 ACTIVATE ACCOUNT Get more out of your accountNow is the time to make your PayPal account even more useful:Account OverviewGet up-to-date information about your payments.Add or withdraw money from your PayPal account.See a detailed transaction history.Yours sincerely,PayPal"
